Identificación del encuestado,Fecha de inicio,Fecha de fin,¿Conoce los nutrientes escenciales para que el cuerpo tenga un funcionamiento adecuado?,¿Cuál de los siguientes nutrientes concidera que consume más?,Considero que mi alimentación ___________ satisface mi actividad física diaria.,Considero que mi alimentación ___________ cubre los nutrientes escenciales,Entre semana ¿cuántas veces al dia come platillos preparados en casa?,Los fines de semana ¿cuántas veces al dia come platillos preparados en casa?,Huevo o lácteos,Café o té descafeinados,Café o té con cafeina,Refrescos o bebidas endulzadas,Refrescos bajos en calorias,Carne de res,Carne de pollo,Carne de cerdo,Pescados o mariscos,Nueces y semillas,Frutas,Verduras,Legumbres,Cereales o pastas,Dulces,Salchichas o carnes frias,Pan dulce,Suplementos alimenticios,Considera que llevar una alimentación saludable es:
4126125537,08/06/2015 20:59:21,08/06/2015 21:01:52,"Sí, todos",Hidratos de carbono (azucares),Ocasionalmente,Pocas veces,1 vez al dia,1 vez al dia,Muy poco,Nada,Lo que más consumo,Raras veces,Nada,Muy poco,Regulamente consumo,Muy poco,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Lo que más consumo,Regulamente consumo,Muy poco,Nada,Cara y consume mucho tiempo prepararla
4126107984,08/06/2015 20:22:30,08/06/2015 20:56:35,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,2 veces al dia,3 veces al dia,Regulamente consumo,Nada,Nada,Raras veces,Nada,Regulamente consumo,Regulamente consumo,Nada,Raras veces,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Nada,Raras veces,Nada,Regulamente consumo,"Barata, pero consume mucho tiempo prepararla"
4126107572,08/06/2015 20:50:01,08/06/2015 20:53:57,"Sí, algunos",Proteinas,Generalmente,Ocasionalmente,3 veces al dia,2 veces al dia,Muy poco,Raras veces,Nada,Muy poco,Raras veces,Lo que más consumo,Lo que más consumo,Raras veces,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Muy poco,Muy poco,Raras veces,Nada,"Cara, pero no consume mucho tiempo prepararla"
4126098159,08/06/2015 20:44:47,08/06/2015 21:14:58,"Sí, algunos",Proteinas,Pocas veces,Ocasionalmente,2 veces al dia,3 veces al dia,Raras veces,Nada,Regulamente consumo,Muy poco,Nada,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Raras veces,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Raras veces,Regulamente consumo,Raras veces,Nada,"Cara, pero no consume mucho tiempo prepararla"
4126093696,08/06/2015 20:42:58,08/06/2015 20:47:48,"Sí, la mayoria",Minerales,Generalmente,Generalmente,3 veces al dia,2 veces al dia,Regulamente consumo,Regulamente consumo,Muy poco,Raras veces,Raras veces,Muy poco,Regulamente consumo,Raras veces,Regulamente consumo,Muy poco,Lo que más consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Muy poco,Muy poco,Raras veces,Nada,"Barata, pero consume mucho tiempo prepararla"
4126068599,08/06/2015 20:31:16,08/06/2015 20:33:31,"Sí, la mayoria",Hidratos de carbono (azucares),Generalmente,Generalmente,Más de 3 veces al dia,2 veces al dia,Regulamente consumo,Raras veces,Raras veces,Raras veces,Raras veces,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Nada,Nada,Raras veces,Nada,"Barata, pero consume mucho tiempo prepararla"
4126056394,08/06/2015 20:25:31,08/06/2015 20:31:32,"Sí, todos",Proteinas,Generalmente,Ocasionalmente,3 veces al dia,1 vez al dia,Regulamente consumo,Regulamente consumo,Muy poco,Raras veces,Nada,Raras veces,Regulamente consumo,Nada,Muy poco,Lo que más consumo,Lo que más consumo,Lo que más consumo,Muy poco,Raras veces,Nada,Raras veces,Raras veces,Muy poco,"Barata, pero consume mucho tiempo prepararla"
4126055667,08/06/2015 20:22:49,08/06/2015 20:43:55,"Sí, todos",Carbohidratos,Generalmente,Generalmente,Más de 3 veces al dia,Más de 3 veces al dia,Regulamente consumo,Nada,Raras veces,Nada,Nada,Regulamente consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Lo que más consumo,Nada,Nada,Nada,Regulamente consumo,Barata y es fácil de prerarar
4126049540,08/06/2015 20:22:24,08/06/2015 20:25:22,"Sí, la mayoria",Hidratos de carbono (azucares),Generalmente,Generalmente,1 vez al dia,1 vez al dia,Lo que más consumo,Nada,Regulamente consumo,Regulamente consumo,Raras veces,Lo que más consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Raras veces,Nada,"Barata, pero consume mucho tiempo prepararla"
4126040356,08/06/2015 20:18:11,08/06/2015 20:21:37,"Sí, todos",Carbohidratos,Generalmente,Ocasionalmente,2 veces al dia,2 veces al dia,Regulamente consumo,Nada,Regulamente consumo,Raras veces,Nada,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Raras veces,Muy poco,Muy poco,Regulamente consumo,Cara y consume mucho tiempo prepararla
4126030436,08/06/2015 20:13:20,08/06/2015 20:15:40,"Sí, la mayoria",Proteinas,Generalmente,Generalmente,3 veces al dia,1 vez al dia,Lo que más consumo,Muy poco,Nada,Nada,Nada,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Raras veces,Lo que más consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Nada,Muy poco,Muy poco,Nada,"Barata, pero consume mucho tiempo prepararla"
4126029015,08/06/2015 20:12:36,08/06/2015 20:15:24,"Sí, algunos",Carbohidratos,Ocasionalmente,Ocasionalmente,1 vez al dia,1 vez al dia,Regulamente consumo,Nada,Nada,Raras veces,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Muy poco,Raras veces,Nada,Nada,"Barata, pero consume mucho tiempo prepararla"
4126028864,08/06/2015 20:12:51,08/06/2015 20:15:19,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,2 veces al dia,3 veces al dia,Regulamente consumo,Raras veces,Raras veces,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Raras veces,Muy poco,Muy poco,Muy poco,Barata y es fácil de prerarar
4126028368,08/06/2015 20:12:38,08/06/2015 20:14:39,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,1 vez al dia,2 veces al dia,Regulamente consumo,Raras veces,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Muy poco,Regulamente consumo,Muy poco,Raras veces,Cara y consume mucho tiempo prepararla
4126022439,08/06/2015 20:09:51,08/06/2015 20:17:23,"Sí, algunos",Fibra,Generalmente,Ocasionalmente,2 veces al dia,2 veces al dia,Raras veces,Nada,Lo que más consumo,Raras veces,Raras veces,Raras veces,Regulamente consumo,Raras veces,Regulamente consumo,Muy poco,Lo que más consumo,Regulamente consumo,Muy poco,Regulamente consumo,Regulamente consumo,Raras veces,Regulamente consumo,Nada,Cara y consume mucho tiempo prepararla
4126020309,08/06/2015 20:08:28,08/06/2015 20:11:00,"Sí, todos",Carbohidratos,Ocasionalmente,Pocas veces,3 veces al dia,2 veces al dia,Regulamente consumo,Muy poco,Raras veces,Muy poco,Raras veces,Muy poco,Muy poco,Raras veces,Raras veces,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Regulamente consumo,Muy poco,Regulamente consumo,Muy poco,"Barata, pero consume mucho tiempo prepararla"
4126011612,08/06/2015 20:04:22,08/06/2015 20:08:38,"Sí, la mayoria",Proteinas,Generalmente,Generalmente,Más de 3 veces al dia,2 veces al dia,Muy poco,Nada,Nada,Raras veces,Nada,Muy poco,Regulamente consumo,Nada,Muy poco,Regulamente consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Muy poco,Raras veces,Raras veces,Regulamente consumo,Raras veces,"Cara, pero no consume mucho tiempo prepararla"
4126011060,08/06/2015 20:04:26,08/06/2015 20:07:49,"Sí, todos",Hidratos de carbono (azucares),Generalmente,Generalmente,1 vez al dia,2 veces al dia,Regulamente consumo,Nada,Raras veces,Nada,Nada,Lo que más consumo,Raras veces,Regulamente consumo,Regulamente consumo,Muy poco,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Raras veces,Raras veces,Raras veces,Nada,"Cara, pero no consume mucho tiempo prepararla"
4126010199,08/06/2015 20:04:10,08/06/2015 20:05:33,"Sí, todos",Carbohidratos,Pocas veces,Generalmente,1 vez al dia,2 veces al dia,Regulamente consumo,Muy poco,Regulamente consumo,Nada,Lo que más consumo,Muy poco,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Lo que más consumo,Regulamente consumo,Nada,Cara y consume mucho tiempo prepararla
4126009131,08/06/2015 20:03:30,08/06/2015 20:07:10,"Sí, la mayoria",Carbohidratos,Ocasionalmente,Generalmente,1 vez al dia,2 veces al dia,Lo que más consumo,Muy poco,Regulamente consumo,Muy poco,Nada,Regulamente consumo,Regulamente consumo,Regulamente consumo,Raras veces,Muy poco,Regulamente consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Muy poco,Muy poco,Nada,Barata y es fácil de prerarar
4126007499,08/06/2015 20:03:03,08/06/2015 20:03:49,"Sí, algunos",Carbohidratos,,,,,,,,,,,,,,,,,,,,,,,
4126006808,08/06/2015 20:02:33,08/06/2015 20:05:45,"Sí, la mayoria",Proteinas,Pocas veces,Pocas veces,2 veces al dia,1 vez al dia,Lo que más consumo,Muy poco,Muy poco,Lo que más consumo,Nada,Lo que más consumo,Muy poco,Nada,Muy poco,Raras veces,Muy poco,Regulamente consumo,Raras veces,Regulamente consumo,Lo que más consumo,Muy poco,Muy poco,Nada,No lo he considerado
4121271448,08/04/2015 16:35:19,08/04/2015 16:38:15,"Sí, la mayoria",Proteinas,Generalmente,Generalmente,1 vez al dia,2 veces al dia,,,,,,,,,,,,,,,,,,,
4116209999,07/31/2015 23:22:28,07/31/2015 23:23:24,"Sí, algunos",Carbohidratos,Generalmente,Ocasionalmente,Más de 3 veces al dia,1 vez al dia,,,,,,,,,,,,,,,,,,,
4114287345,07/30/2015 21:46:49,07/30/2015 21:48:43,"Sí, algunos",Carbohidratos,Ocasionalmente,Generalmente,1 vez al dia,2 veces al dia,,,,,,,,,,,,,,,,,,,
4114226891,07/30/2015 21:12:19,07/30/2015 21:13:35,"Sí, algunos",Carbohidratos,Generalmente,Ocasionalmente,2 veces al dia,1 vez al dia,,,,,,,,,,,,,,,,,,,
